x,y,z
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.983341664682815475e-02,9.950041652780258206e-01,0.000000000000000000e+00
1.986693307950612164e-01,9.800665778412416262e-01,0.000000000000000000e+00
2.955202066613396017e-01,9.553364891256059810e-01,0.000000000000000000e+00
3.894183423086505225e-01,9.210609940028851028e-01,0.000000000000000000e+00
4.794255386042030054e-01,8.775825618903727587e-01,0.000000000000000000e+00
5.646424733950354824e-01,8.253356149096782168e-01,0.000000000000000000e+00
6.442176872376911279e-01,7.648421872844883840e-01,0.000000000000000000e+00
7.173560908995227914e-01,6.967067093471653871e-01,0.000000000000000000e+00
7.833269096274834142e-01,6.216099682706643925e-01,0.000000000000000000e+00
8.414709848078965049e-01,5.403023058681397650e-01,0.000000000000000000e+00
8.912073600614354163e-01,4.535961214255773144e-01,0.000000000000000000e+00
9.320390859672263995e-01,3.623577544766733993e-01,0.000000000000000000e+00
9.635581854171929583e-01,2.674988286245873481e-01,0.000000000000000000e+00
9.854497299884602546e-01,1.699671429002408141e-01,0.000000000000000000e+00
9.974949866040544455e-01,7.073720166770290640e-02,0.000000000000000000e+00
9.995736030415051099e-01,-2.919952230128881540e-02,0.000000000000000000e+00
9.916648104524685703e-01,-1.288444942955248584e-01,0.000000000000000000e+00
9.738476308781951474e-01,-2.272020946930871088e-01,0.000000000000000000e+00
9.463000876874144707e-01,-3.232895668635035191e-01,0.000000000000000000e+00
9.092974268256817094e-01,-4.161468365471424069e-01,0.000000000000000000e+00
8.632093666488737105e-01,-5.048461045998575702e-01,0.000000000000000000e+00
8.084964038195900926e-01,-5.885011172553458181e-01,0.000000000000000000e+00
7.457052121767200337e-01,-6.662760212798244375e-01,0.000000000000000000e+00
6.754631805511506215e-01,-7.373937155412457756e-01,0.000000000000000000e+00
5.984721441039564382e-01,-8.011436155469336962e-01,0.000000000000000000e+00
5.155013718214641605e-01,-8.568887533689473202e-01,0.000000000000000000e+00
4.273798802338297786e-01,-9.040721420170612088e-01,0.000000000000000000e+00
3.349881501559046626e-01,-9.422223406686582869e-01,0.000000000000000000e+00
2.392493292139819816e-01,-9.709581651495906574e-01,0.000000000000000000e+00
1.411200080598672135e-01,-9.899924966004454152e-01,0.000000000000000000e+00
4.158066243329049116e-02,-9.991351502732794820e-01,0.000000000000000000e+00
-5.837414342758008579e-02,-9.982947757947531198e-01,0.000000000000000000e+00
-1.577456941432486548e-01,-9.874797699088648795e-01,0.000000000000000000e+00
-2.555411020268316680e-01,-9.667981925794608689e-01,0.000000000000000000e+00
-3.507832276896198365e-01,-9.364566872907963413e-01,0.000000000000000000e+00
-4.425204432948524613e-01,-8.967584163341469905e-01,0.000000000000000000e+00
-5.298361409084934026e-01,-8.481000317104080422e-01,0.000000000000000000e+00
-6.118578909427192514e-01,-7.909677119144165047e-01,0.000000000000000000e+00
-6.877661591839741018e-01,-7.259323042001398774e-01,0.000000000000000000e+00
-7.568024953079283135e-01,-6.536436208636119405e-01,0.000000000000000000e+00
-8.182771110644108115e-01,-5.748239465332685150e-01,0.000000000000000000e+00
-8.715757724135881901e-01,-4.902608213406994264e-01,0.000000000000000000e+00
